Timestamp,Frame,VehicleID,Class,Speed_km_h,Center_X,Center_Y
1742319071.1897762,1,1,car,0.0,55,485
1742319071.1897762,1,2,bus,0.0,929,368
1742319071.1897762,1,3,car,0.0,274,393
1742319071.1897762,1,4,car,0.0,177,405
1742319071.1897762,1,5,motorcycle,0.0,146,449
1742319071.1897762,1,6,person,0.0,326,413
1742319071.1897762,1,7,motorcycle,0.0,231,502
1742319071.1897762,1,8,car,0.0,370,398
1742319071.1897762,1,9,truck,0.0,369,398
1742319071.1897762,1,10,car,0.0,1220,587
1742319071.1897762,1,11,motorcycle,0.0,233,493
1742319071.1897762,1,12,truck,0.0,1220,583
1742319071.1897762,1,13,car,0.0,561,381
1742319077.081139,2,1,car,6.51,55,483
1742319077.081139,2,2,bus,17.52,924,370
1742319077.081139,2,3,car,3.25,274,394
1742319077.081139,2,4,car,7.28,175,406
1742319077.081139,2,5,motorcycle,3.25,146,448
1742319077.081139,2,6,person,3.25,325,413
1742319077.081139,2,7,motorcycle,16.27,227,505
1742319077.081139,2,8,car,9.2,368,400
1742319077.081139,2,9,truck,9.2,367,400
1742319077.081139,2,10,car,3.25,1219,587
1742319077.081139,2,11,motorcycle,4.6,232,494
1742319077.081139,2,12,truck,3.25,1220,584
1742319077.081139,2,13,car,7.28,560,383
1742319148.9952211,3,1,car,6.86,56,484
